,year,zip3,cnt
0,2006,010,6
1,2006,011,2
2,2006,012,4
3,2006,014,5
4,2006,015,9
5,2006,017,2
6,2006,018,5
7,2006,019,2
8,2006,020,2
9,2006,021,3
10,2006,023,3
11,2006,026,1
12,2006,027,5
13,2006,028,1
14,2006,029,1
15,2006,030,9
16,2006,031,4
17,2006,032,2
18,2006,033,4
19,2006,034,4
20,2006,035,5
21,2006,037,3
22,2006,038,10
23,2006,039,1
24,2006,040,2
25,2006,041,3
26,2006,042,6
27,2006,043,2
28,2006,044,3
29,2006,046,4
30,2006,047,6
31,2006,048,1
32,2006,049,6
33,2006,050,1
34,2006,051,2
35,2006,053,2
36,2006,054,10
37,2006,056,3
38,2006,057,4
39,2006,058,3
40,2006,060,1
41,2006,061,1
42,2006,062,1
43,2006,063,3
44,2006,064,10
45,2006,066,1
46,2006,067,1
47,2006,068,1
48,2006,070,19
49,2006,071,2
50,2006,072,6
51,2006,073,5
52,2006,074,8
53,2006,075,2
54,2006,076,4
55,2006,077,4
56,2006,078,8
57,2006,080,21
58,2006,081,1
59,2006,082,1
60,2006,083,3
61,2006,085,10
62,2006,086,5
63,2006,087,1
64,2006,088,17
65,2006,089,1
66,2006,105,1
67,2006,109,1
68,2006,111,2
69,2006,114,1
70,2006,117,1
71,2006,120,11
72,2006,121,3
73,2006,122,1
74,2006,123,2
75,2006,124,2
76,2006,125,6
77,2006,127,2
78,2006,128,10
79,2006,129,10
80,2006,130,10
81,2006,131,12
82,2006,132,2
83,2006,133,4
84,2006,134,4
85,2006,135,1
86,2006,136,9
87,2006,137,3
88,2006,138,7
89,2006,139,2
90,2006,140,12
91,2006,142,1
92,2006,143,1
93,2006,144,11
94,2006,145,4
95,2006,146,2
96,2006,147,7
97,2006,148,7
98,2006,150,4
99,2006,151,4
100,2006,152,4
101,2006,153,5
102,2006,154,3
103,2006,155,11
104,2006,156,4
105,2006,157,2
106,2006,158,4
107,2006,159,2
108,2006,160,6
109,2006,161,3
110,2006,162,1
111,2006,163,6
112,2006,164,7
113,2006,165,3
114,2006,166,6
115,2006,168,9
116,2006,169,5
117,2006,170,24
118,2006,171,5
119,2006,172,6
120,2006,173,8
121,2006,175,8
122,2006,177,7
123,2006,178,5
124,2006,179,6
125,2006,180,3
126,2006,181,2
127,2006,182,6
128,2006,183,2
129,2006,184,6
130,2006,186,8
131,2006,187,2
132,2006,188,9
133,2006,190,11
134,2006,191,1
135,2006,194,2
136,2006,195,11
137,2006,197,7
138,2006,199,8
139,2006,201,4
140,2006,206,3
141,2006,207,8
142,2006,210,4
143,2006,211,3
144,2006,212,4
145,2006,215,2
146,2006,216,4
147,2006,217,8
148,2006,218,3
149,2006,219,4
150,2006,224,2
151,2006,225,5
152,2006,226,7
153,2006,228,3
154,2006,229,4
155,2006,230,7
156,2006,231,6
157,2006,232,2
158,2006,233,4
159,2006,234,8
160,2006,236,2
161,2006,237,1
162,2006,238,16
163,2006,239,7
164,2006,240,9
165,2006,241,10
166,2006,242,8
167,2006,243,18
168,2006,244,11
169,2006,245,20
170,2006,246,1
171,2006,247,1
172,2006,249,1
173,2006,250,2
174,2006,251,3
175,2006,252,3
176,2006,253,2
177,2006,254,1
178,2006,255,2
179,2006,257,1
180,2006,258,3
181,2006,260,2
182,2006,261,3
183,2006,263,2
184,2006,264,2
185,2006,265,4
186,2006,266,5
187,2006,267,2
188,2006,270,5
189,2006,271,2
190,2006,272,17
191,2006,273,16
192,2006,274,2
193,2006,275,19
194,2006,276,6
195,2006,277,3
196,2006,278,16
197,2006,279,6
198,2006,280,7
199,2006,281,14
200,2006,282,5
201,2006,283,29
202,2006,284,12
203,2006,285,12
204,2006,286,19
205,2006,287,17
206,2006,289,2
207,2006,290,24
208,2006,291,24
209,2006,292,8
210,2006,293,21
211,2006,294,27
212,2006,295,17
213,2006,296,15
214,2006,297,15
215,2006,298,12
216,2006,299,5
217,2006,300,7
218,2006,301,28
219,2006,302,33
220,2006,303,7
221,2006,304,15
222,2006,305,17
223,2006,306,14
224,2006,307,16
225,2006,308,6
226,2006,309,11
227,2006,310,30
228,2006,312,5
229,2006,313,6
230,2006,314,7
231,2006,315,28
232,2006,316,15
233,2006,317,29
234,2006,318,4
235,2006,319,4
236,2006,320,14
237,2006,321,4
238,2006,322,13
239,2006,323,10
240,2006,324,13
241,2006,325,5
242,2006,326,4
243,2006,327,6
244,2006,328,3
245,2006,329,6
246,2006,330,6
247,2006,331,6
248,2006,332,1
249,2006,333,3
250,2006,334,4
251,2006,335,8
252,2006,336,8
253,2006,337,3
254,2006,338,13
255,2006,339,7
256,2006,341,1
257,2006,342,3
258,2006,344,5
259,2006,346,1
260,2006,347,11
261,2006,349,8
262,2006,350,22
263,2006,351,14
264,2006,352,5
265,2006,354,16
266,2006,355,14
267,2006,356,16
268,2006,357,3
269,2006,358,1
270,2006,359,13
271,2006,360,12
272,2006,361,3
273,2006,362,8
274,2006,363,20
275,2006,364,21
276,2006,365,20
277,2006,366,2
278,2006,367,12
279,2006,368,7
280,2006,369,5
281,2006,370,21
282,2006,371,7
283,2006,372,3
284,2006,373,13
285,2006,374,6
286,2006,376,4
287,2006,377,11
288,2006,378,10
289,2006,379,13
290,2006,380,14
291,2006,381,9
292,2006,382,5
293,2006,383,21
294,2006,384,6
295,2006,385,7
296,2006,386,24
297,2006,387,6
298,2006,388,23
299,2006,389,10
300,2006,390,9
301,2006,391,20
302,2006,392,9
303,2006,393,20
304,2006,394,34
305,2006,395,15
306,2006,396,10
307,2006,397,10
308,2006,398,11
309,2006,400,8
310,2006,401,5
311,2006,402,2
312,2006,403,10
313,2006,404,7
314,2006,405,3
315,2006,407,8
316,2006,409,4
317,2006,410,12
318,2006,411,15
319,2006,412,1
320,2006,413,2
321,2006,414,2
322,2006,416,2
323,2006,418,1
324,2006,420,12
325,2006,421,8
326,2006,422,6
327,2006,423,6
328,2006,424,3
329,2006,425,4
330,2006,426,2
331,2006,427,8
332,2006,430,11
333,2006,431,12
334,2006,432,2
335,2006,433,9
336,2006,434,12
337,2006,435,19
338,2006,436,6
339,2006,437,9
340,2006,438,2
341,2006,439,3
342,2006,440,10
343,2006,441,7
344,2006,442,12
345,2006,443,1
346,2006,444,12
347,2006,445,3
348,2006,446,6
349,2006,447,3
350,2006,448,12
351,2006,449,1
352,2006,450,6
353,2006,451,5
354,2006,452,4
355,2006,453,9
356,2006,454,1
357,2006,455,1
358,2006,456,13
359,2006,457,6
360,2006,458,17
361,2006,460,6
362,2006,461,13
363,2006,462,4
364,2006,463,24
365,2006,464,11
366,2006,465,14
367,2006,466,3
368,2006,467,18
369,2006,468,5
370,2006,469,12
371,2006,470,2
372,2006,471,7
373,2006,472,4
374,2006,473,12
375,2006,474,6
376,2006,475,6
377,2006,476,8
378,2006,477,2
379,2006,478,6
380,2006,479,15
381,2006,480,20
382,2006,481,32
383,2006,482,8
384,2006,484,18
385,2006,485,4
386,2006,486,17
387,2006,487,9
388,2006,488,18
389,2006,489,1
390,2006,490,29
391,2006,491,6
392,2006,492,9
393,2006,493,16
394,2006,494,3
395,2006,495,5
396,2006,496,14
397,2006,497,14
398,2006,498,26
399,2006,499,16
400,2006,500,12
401,2006,501,6
402,2006,502,8
403,2006,503,4
404,2006,504,5
405,2006,505,6
406,2006,506,9
407,2006,507,5
408,2006,510,3
409,2006,511,2
410,2006,512,2
411,2006,513,3
412,2006,514,3
413,2006,515,12
414,2006,516,3
415,2006,520,11
416,2006,521,6
417,2006,522,8
418,2006,523,7
419,2006,524,2
420,2006,525,9
421,2006,526,8
422,2006,527,13
423,2006,528,2
424,2006,530,26
425,2006,531,20
426,2006,532,2
427,2006,535,32
428,2006,537,1
429,2006,538,4
430,2006,539,21
431,2006,540,5
432,2006,541,22
433,2006,542,5
434,2006,543,3
435,2006,544,31
436,2006,545,17
437,2006,546,23
438,2006,547,13
439,2006,548,15
440,2006,549,29
441,2006,550,21
442,2006,551,4
443,2006,553,19
444,2006,554,4
445,2006,556,1
446,2006,557,12
447,2006,558,2
448,2006,559,8
449,2006,560,14
450,2006,561,10
451,2006,562,18
452,2006,563,17
453,2006,564,4
454,2006,565,7
455,2006,566,10
456,2006,567,6
457,2006,570,14
458,2006,571,6
459,2006,572,8
460,2006,573,12
461,2006,574,4
462,2006,575,12
463,2006,576,1
464,2006,577,8
465,2006,580,10
466,2006,581,4
467,2006,582,6
468,2006,583,5
469,2006,584,7
470,2006,585,6
471,2006,586,5
472,2006,587,5
473,2006,588,3
474,2006,590,10
475,2006,591,2
476,2006,592,3
477,2006,593,5
478,2006,594,7
479,2006,595,4
480,2006,596,3
481,2006,597,10
482,2006,598,12
483,2006,599,7
484,2006,600,8
485,2006,601,9
486,2006,604,17
487,2006,605,8
488,2006,606,6
489,2006,608,2
490,2006,609,5
491,2006,610,18
492,2006,611,6
493,2006,612,4
494,2006,613,12
495,2006,614,6
496,2006,615,4
497,2006,616,3
498,2006,617,15
499,2006,618,6
500,2006,619,3
501,2006,620,4
502,2006,622,9
503,2006,623,5
504,2006,624,12
505,2006,625,6
506,2006,626,12
507,2006,627,2
508,2006,628,10
509,2006,629,5
510,2006,630,11
511,2006,631,9
512,2006,633,15
513,2006,634,8
514,2006,635,3
515,2006,636,3
516,2006,637,7
517,2006,638,15
518,2006,639,3
519,2006,640,18
520,2006,641,6
521,2006,644,18
522,2006,645,5
523,2006,646,4
524,2006,647,12
525,2006,648,17
526,2006,650,1
527,2006,651,1
528,2006,652,11
529,2006,653,5
530,2006,654,1
531,2006,655,5
532,2006,656,6
533,2006,657,12
534,2006,658,5
535,2006,660,6
536,2006,661,5
537,2006,664,4
538,2006,665,12
539,2006,666,1
540,2006,667,10
541,2006,668,11
542,2006,669,6
543,2006,670,8
544,2006,671,10
545,2006,672,4
546,2006,673,4
547,2006,674,13
548,2006,675,8
549,2006,676,12
550,2006,677,12
551,2006,678,24
552,2006,679,3
553,2006,680,7
554,2006,681,2
555,2006,682,1
556,2006,683,9
557,2006,684,8
558,2006,685,2
559,2006,686,8
560,2006,687,12
561,2006,688,20
562,2006,689,5
563,2006,690,3
564,2006,691,14
565,2006,692,3
566,2006,693,9
567,2006,700,15
568,2006,701,9
569,2006,703,25
570,2006,704,17
571,2006,705,37
572,2006,706,23
573,2006,707,28
574,2006,708,3
575,2006,710,23
576,2006,711,5
577,2006,712,20
578,2006,713,12
579,2006,714,16
580,2006,716,12
581,2006,717,12
582,2006,718,14
583,2006,719,5
584,2006,720,18
585,2006,721,14
586,2006,722,4
587,2006,723,23
588,2006,724,6
589,2006,725,2
590,2006,726,6
591,2006,727,8
592,2006,728,8
593,2006,729,12
594,2006,730,23
595,2006,731,13
596,2006,734,7
597,2006,735,7
598,2006,736,11
599,2006,737,8
600,2006,738,3
601,2006,739,8
602,2006,740,18
603,2006,741,4
604,2006,743,11
605,2006,744,14
606,2006,745,11
607,2006,746,5
608,2006,747,12
609,2006,748,9
610,2006,749,13
611,2006,750,10
612,2006,751,24
613,2006,752,8
614,2006,754,17
615,2006,755,10
616,2006,756,12
617,2006,757,11
618,2006,758,12
619,2006,759,22
620,2006,760,18
621,2006,761,6
622,2006,762,19
623,2006,763,9
624,2006,764,6
625,2006,765,14
626,2006,766,11
627,2006,767,3
628,2006,768,10
629,2006,769,11
630,2006,770,33
631,2006,773,21
632,2006,774,25
633,2006,775,23
634,2006,776,10
635,2006,777,3
636,2006,778,8
637,2006,779,9
638,2006,780,25
639,2006,781,10
640,2006,782,9
641,2006,783,19
642,2006,784,3
643,2006,785,17
644,2006,786,17
645,2006,787,2
646,2006,788,12
647,2006,789,5
648,2006,790,29
649,2006,791,10
650,2006,792,6
651,2006,793,10
652,2006,794,6
653,2006,795,12
654,2006,796,2
655,2006,797,21
656,2006,798,10
657,2006,799,4
658,2006,800,8
659,2006,801,6
660,2006,802,5
661,2006,804,2
662,2006,805,6
663,2006,806,8
664,2006,807,10
665,2006,808,12
666,2006,809,1
667,2006,810,19
668,2006,811,5
669,2006,812,5
670,2006,813,3
671,2006,814,2
672,2006,815,4
673,2006,816,3
674,2006,820,17
675,2006,822,9
676,2006,823,8
677,2006,824,8
678,2006,825,3
679,2006,826,10
680,2006,827,6
681,2006,828,4
682,2006,829,9
683,2006,830,1
684,2006,831,3
685,2006,832,14
686,2006,833,10
687,2006,834,9
688,2006,835,4
689,2006,836,11
690,2006,837,3
691,2006,838,10
692,2006,840,12
693,2006,841,5
694,2006,843,9
695,2006,844,4
696,2006,845,5
697,2006,846,13
698,2006,847,18
699,2006,850,4
700,2006,852,8
701,2006,853,18
702,2006,855,1
703,2006,856,7
704,2006,857,3
705,2006,860,12
706,2006,863,3
707,2006,864,8
708,2006,865,2
709,2006,870,7
710,2006,871,6
711,2006,873,4
712,2006,874,6
713,2006,875,2
714,2006,877,6
715,2006,878,2
716,2006,879,1
717,2006,880,10
718,2006,881,4
719,2006,882,11
720,2006,883,8
721,2006,884,8
722,2006,890,18
723,2006,891,6
724,2006,893,1
725,2006,894,15
726,2006,895,2
727,2006,898,6
728,2006,900,6
729,2006,902,4
730,2006,906,3
731,2006,907,1
732,2006,908,4
733,2006,913,6
734,2006,917,4
735,2006,919,4
736,2006,920,2
737,2006,921,2
738,2006,922,15
739,2006,923,26
740,2006,925,3
741,2006,928,2
742,2006,930,2
743,2006,932,19
744,2006,933,9
745,2006,934,4
746,2006,935,12
747,2006,936,12
748,2006,937,7
749,2006,939,3
750,2006,940,2
751,2006,945,6
752,2006,946,1
753,2006,948,1
754,2006,950,4
755,2006,951,1
756,2006,952,5
757,2006,953,14
758,2006,954,5
759,2006,955,3
760,2006,956,2
761,2006,957,1
762,2006,958,2
763,2006,959,6
764,2006,960,6
765,2006,961,1
766,2006,970,6
767,2006,971,1
768,2006,972,2
769,2006,973,4
770,2006,974,9
771,2006,975,3
772,2006,976,4
773,2006,977,6
774,2006,978,19
775,2006,979,4
776,2006,980,5
777,2006,981,3
778,2006,982,8
779,2006,984,2
780,2006,985,5
781,2006,986,3
782,2006,988,8
783,2006,989,9
784,2006,991,3
785,2006,992,4
786,2006,993,9
787,2006,995,3
788,2006,996,1
789,2006,997,8
790,2006,998,1
791,2007,010,6
792,2007,011,2
793,2007,012,4
794,2007,014,5
795,2007,015,8
796,2007,017,2
797,2007,018,5
798,2007,019,2
799,2007,020,2
800,2007,021,3
801,2007,023,3
802,2007,026,1
803,2007,027,4
804,2007,028,1
805,2007,029,1
806,2007,030,8
807,2007,031,3
808,2007,032,2
809,2007,033,4
810,2007,034,4
811,2007,035,5
812,2007,037,3
813,2007,038,8
814,2007,039,1
815,2007,040,2
816,2007,041,2
817,2007,042,6
818,2007,043,2
819,2007,044,3
820,2007,046,4
821,2007,047,6
822,2007,048,1
823,2007,049,6
824,2007,050,1
825,2007,051,2
826,2007,053,2
827,2007,054,10
828,2007,056,3
829,2007,057,4
830,2007,058,3
831,2007,060,1
832,2007,061,1
833,2007,062,1
834,2007,063,2
835,2007,064,9
836,2007,066,1
837,2007,067,1
838,2007,068,1
839,2007,070,18
840,2007,071,2
841,2007,072,6
842,2007,073,5
843,2007,074,8
844,2007,075,1
845,2007,076,4
846,2007,077,4
847,2007,078,8
848,2007,080,21
849,2007,081,1
850,2007,082,1
851,2007,083,3
852,2007,085,8
853,2007,086,5
854,2007,087,1
855,2007,088,15
856,2007,089,2
857,2007,105,1
858,2007,109,1
859,2007,111,2
860,2007,114,1
861,2007,117,1
862,2007,120,10
863,2007,121,2
864,2007,122,1
865,2007,123,2
866,2007,124,1
867,2007,125,6
868,2007,127,2
869,2007,128,9
870,2007,129,9
871,2007,130,10
872,2007,131,12
873,2007,132,2
874,2007,133,4
875,2007,134,4
876,2007,135,1
877,2007,136,8
878,2007,137,3
879,2007,138,7
880,2007,139,2
881,2007,140,11
882,2007,142,1
883,2007,143,1
884,2007,144,11
885,2007,145,4
886,2007,146,2
887,2007,147,7
888,2007,148,7
889,2007,150,4
890,2007,151,3
891,2007,152,4
892,2007,153,5
893,2007,154,3
894,2007,155,12
895,2007,156,4
896,2007,157,1
897,2007,158,4
898,2007,159,2
899,2007,160,5
900,2007,161,3
901,2007,162,1
902,2007,163,5
903,2007,164,7
904,2007,165,4
905,2007,166,6
906,2007,168,9
907,2007,169,5
908,2007,170,24
909,2007,171,5
910,2007,172,6
911,2007,173,8
912,2007,175,7
913,2007,177,7
914,2007,178,5
915,2007,179,6
916,2007,180,3
917,2007,181,1
918,2007,182,5
919,2007,183,2
920,2007,184,6
921,2007,186,8
922,2007,187,2
923,2007,188,9
924,2007,190,11
925,2007,194,2
926,2007,195,11
927,2007,197,7
928,2007,199,8
929,2007,201,4
930,2007,206,3
931,2007,207,8
932,2007,210,4
933,2007,211,3
934,2007,212,3
935,2007,215,2
936,2007,216,4
937,2007,217,8
938,2007,218,3
939,2007,219,4
940,2007,224,2
941,2007,225,5
942,2007,226,7
943,2007,228,3
944,2007,229,4
945,2007,230,7
946,2007,231,5
947,2007,232,1
948,2007,233,4
949,2007,234,8
950,2007,235,1
951,2007,236,2
952,2007,237,1
953,2007,238,18
954,2007,239,7
955,2007,240,9
956,2007,241,10
957,2007,242,8
958,2007,243,20
959,2007,244,10
960,2007,245,20
961,2007,246,1
962,2007,249,1
963,2007,250,2
964,2007,251,3
965,2007,252,3
966,2007,253,2
967,2007,254,1
968,2007,255,2
969,2007,257,1
970,2007,258,3
971,2007,260,2
972,2007,261,3
973,2007,263,2
974,2007,264,2
975,2007,265,4
976,2007,266,5
977,2007,267,2
978,2007,270,6
979,2007,271,2
980,2007,272,17
981,2007,273,16
982,2007,274,2
983,2007,275,20
984,2007,276,6
985,2007,277,3
986,2007,278,16
987,2007,279,6
988,2007,280,7
989,2007,281,14
990,2007,282,5
991,2007,283,30
992,2007,284,11
993,2007,285,12
994,2007,286,20
995,2007,287,17
996,2007,289,2
997,2007,290,18
998,2007,291,21
999,2007,292,8
1000,2007,293,21
1001,2007,294,28
1002,2007,295,17
1003,2007,296,15
1004,2007,297,17
1005,2007,298,11
1006,2007,299,4
1007,2007,300,7
1008,2007,301,25
1009,2007,302,32
1010,2007,303,7
1011,2007,304,15
1012,2007,305,16
1013,2007,306,12
1014,2007,307,19
1015,2007,308,7
1016,2007,309,10
1017,2007,310,30
1018,2007,312,4
1019,2007,313,7
1020,2007,314,7
1021,2007,315,25
1022,2007,316,15
1023,2007,317,27
1024,2007,318,4
1025,2007,319,4
1026,2007,320,14
1027,2007,321,5
1028,2007,322,12
1029,2007,323,10
1030,2007,324,13
1031,2007,325,5
1032,2007,326,4
1033,2007,327,8
1034,2007,328,3
1035,2007,329,6
1036,2007,330,6
1037,2007,331,5
1038,2007,332,1
1039,2007,333,3
1040,2007,334,5
1041,2007,335,8
1042,2007,336,9
1043,2007,337,3
1044,2007,338,13
1045,2007,339,7
1046,2007,341,1
1047,2007,342,2
1048,2007,344,5
1049,2007,346,1
1050,2007,347,14
1051,2007,349,8
1052,2007,350,23
1053,2007,351,13
1054,2007,352,5
1055,2007,354,14
1056,2007,355,13
1057,2007,356,17
1058,2007,357,4
1059,2007,358,1
1060,2007,359,13
1061,2007,360,13
1062,2007,361,3
1063,2007,362,8
1064,2007,363,20
1065,2007,364,21
1066,2007,365,19
1067,2007,366,2
1068,2007,367,12
1069,2007,368,7
1070,2007,369,5
1071,2007,370,21
1072,2007,371,4
1073,2007,372,4
1074,2007,373,16
1075,2007,374,7
1076,2007,376,4
1077,2007,377,11
1078,2007,378,12
1079,2007,379,12
1080,2007,380,13
1081,2007,381,9
1082,2007,382,3
1083,2007,383,21
1084,2007,384,7
1085,2007,385,7
1086,2007,386,24
1087,2007,387,6
1088,2007,388,24
1089,2007,389,8
1090,2007,390,8
1091,2007,391,20
1092,2007,392,8
1093,2007,393,21
1094,2007,394,34
1095,2007,395,14
1096,2007,396,8
1097,2007,397,10
1098,2007,398,10
1099,2007,400,8
1100,2007,401,5
1101,2007,402,2
1102,2007,403,11
1103,2007,404,7
1104,2007,405,3
1105,2007,407,8
1106,2007,409,5
1107,2007,410,12
1108,2007,411,14
1109,2007,412,1
1110,2007,413,2
1111,2007,414,2
1112,2007,416,2
1113,2007,418,1
1114,2007,420,13
1115,2007,421,8
1116,2007,422,7
1117,2007,423,6
1118,2007,424,2
1119,2007,425,4
1120,2007,426,1
1121,2007,427,8
1122,2007,430,11
1123,2007,431,12
1124,2007,432,2
1125,2007,433,9
1126,2007,434,12
1127,2007,435,17
1128,2007,436,5
1129,2007,437,9
1130,2007,438,2
1131,2007,439,2
1132,2007,440,9
1133,2007,441,6
1134,2007,442,12
1135,2007,443,1
1136,2007,444,12
1137,2007,445,3
1138,2007,446,6
1139,2007,447,3
1140,2007,448,11
1141,2007,449,1
1142,2007,450,6
1143,2007,451,5
1144,2007,452,4
1145,2007,453,9
1146,2007,454,1
1147,2007,455,1
1148,2007,456,13
1149,2007,457,6
1150,2007,458,16
1151,2007,460,6
1152,2007,461,13
1153,2007,462,4
1154,2007,463,24
1155,2007,464,11
1156,2007,465,14
1157,2007,466,3
1158,2007,467,17
1159,2007,468,5
1160,2007,469,11
1161,2007,470,2
1162,2007,471,7
1163,2007,472,4
1164,2007,473,12
1165,2007,474,6
1166,2007,475,5
1167,2007,476,8
1168,2007,477,1
1169,2007,478,6
1170,2007,479,13
1171,2007,480,20
1172,2007,481,28
1173,2007,482,7
1174,2007,484,16
1175,2007,485,4
1176,2007,486,17
1177,2007,487,9
1178,2007,488,19
1179,2007,489,1
1180,2007,490,31
1181,2007,491,6
1182,2007,492,9
1183,2007,493,16
1184,2007,494,3
1185,2007,495,5
1186,2007,496,12
1187,2007,497,14
1188,2007,498,24
1189,2007,499,16
1190,2007,500,13
1191,2007,501,6
1192,2007,502,8
1193,2007,503,4
1194,2007,504,3
1195,2007,505,7
1196,2007,506,8
1197,2007,507,5
1198,2007,510,2
1199,2007,511,2
1200,2007,512,2
1201,2007,513,3
1202,2007,514,3
1203,2007,515,12
1204,2007,516,3
1205,2007,520,11
1206,2007,521,6
1207,2007,522,9
1208,2007,523,7
1209,2007,524,2
1210,2007,525,9
1211,2007,526,8
1212,2007,527,13
1213,2007,528,2
1214,2007,530,26
1215,2007,531,20
1216,2007,532,2
1217,2007,535,31
1218,2007,537,1
1219,2007,538,4
1220,2007,539,19
1221,2007,540,5
1222,2007,541,22
1223,2007,542,5
1224,2007,543,3
1225,2007,544,31
1226,2007,545,16
1227,2007,546,24
1228,2007,547,13
